rank,player_name,age,gender,club,league,nationality,position,preffered_foot,height_(in cm),weight_(in kg),alt_position,ovr,pac,pac+-,sho,sho+-,pas,pas+-,dri,dri+-,def,def+-,phy,phy+-,image_url
6856,Christiaan Ravych,22,M,Cercle Brugge,1A Pro League,Belgium,CB,Right,192,75,['LB'],68,46,-3,28,0,51,5,58,2,68,2,65,7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p268067.png?padding=0.7
6856,Kenny Prince Redondo,30,M,Kaiserslautern,Bundesliga 2,Germany,LM,Left,180,71,"['ST', 'CAM', 'LW']",68,92,0,62,0,58,0,70,0,47,0,60,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p229171.png?padding=0.7
6856,Johannes Reichert,33,M,SSV Ulm 1846,Bundesliga 2,Germany,CB,Right,184,82,,68,66,4,32,0,50,2,61,8,68,5,73,-3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231555.png?padding=0.7
6856,Dominik Reimann,27,M,1. FC Magdeburg,Bundesliga 2,Germany,GK,Right,186,82,,68,68,0,66,0,73,0,68,0,45,0,70,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p228607.png?padding=0.7
6856,Ferro,27,M,Estrela Amadora,Liga Portugal,Portugal,CB,Right,191,83,,68,52,0,42,0,54,0,59,0,68,-4,73,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p242236.png?padding=0.7
6856,Erlend Dahl Reitan,27,M,Rosenborg BK,Eliteserien,Norway,RB,Right,180,74,['CB'],68,79,0,47,0,58,-1,65,0,62,-1,74,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p230836.png?padding=0.7
6856,Nicolai Remberg,24,M,Holstein Kiel,Bundesliga,Germany,CM,Right,187,88,['CDM'],68,69,-1,53,2,63,1,68,3,62,2,76,4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p276119.png?padding=0.7
6856,Eric Remedi,29,M,San Lorenzo,Libertadores,Argentina,CDM,Right,169,77,['CM'],68,42,-4,49,0,59,0,61,0,66,0,80,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p228838.png?padding=0.7
6856,Andrés Reyes,25,M,Red Bulls,MLS,Colombia,CB,Right,191,81,,68,72,-2,33,0,40,0,47,0,67,-2,79,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p246048.png?padding=0.7
6856,Jordan Rhodes,34,M,Blackpool,EFL League One,Scotland,ST,Right,185,71,,68,61,-1,70,0,53,0,61,-1,39,0,59,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p184624.png?padding=0.7
6856,Brayan Riascos,30,M,Qingdao W. Coast,CSL,Colombia,ST,Right,178,88,['RM'],68,80,-3,67,-2,62,0,66,-1,36,1,76,-5,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p235077.png?padding=0.7
6856,Clemens Riedel,21,M,SV Darmstadt 98,Bundesliga 2,Germany,CB,Right,186,73,,68,54,11,28,1,48,2,56,2,69,0,68,4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p263575.png?padding=0.7
6856,Andy Rinomhota,27,M,Cardiff City,EFL Championship,England,CDM,Right,175,72,['CM'],68,80,0,54,0,59,0,65,0,67,-1,80,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p228517.png?padding=0.7
6856,Renaud Ripart,31,M,ESTAC Troyes,Ligue 2 BKT,France,RM,Right,181,73,"['ST', 'LM', 'RW']",68,64,-2,67,-7,66,-2,68,-3,64,0,80,-4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p209430.png?padding=0.7
6856,Birk Risa,26,M,New York City FC,MLS,Norway,CB,Left,188,79,,68,74,0,56,0,61,0,65,0,67,0,74,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p241737.png?padding=0.7
6856,Marvin Rittmüller,25,M,Braunschweig,Bundesliga 2,Germany,RB,Right,178,79,['RM'],68,88,8,43,0,57,0,64,1,61,0,69,7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p257332.png?padding=0.7
6856,Ciro Rius,36,M,Platense,Primera División,Argentina,RM,Right,175,70,"['RW', 'RB']",68,69,-3,61,0,67,0,70,0,57,0,60,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p215165.png?padding=0.7
6856,Rigoberto Rivas,26,M,Hatayspor,Trendyol Süper Lig,Honduras,LM,Right,178,73,"['RM', 'ST', 'LW']",68,79,0,62,0,63,0,69,0,34,0,56,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p241094.png?padding=0.7
6856,José Rivera,27,M,Universitario,Libertadores,Peru,ST,Right,171,74,"['LM', 'LW']",68,69,-3,72,8,62,0,68,0,48,-6,64,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p265627.png?padding=0.7
6856,Harold Rivera,30,M,América de Cali,Sudamericana,Colombia,CDM,Right,175,74,['CM'],68,71,0,59,0,68,0,67,0,63,0,67,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p214054.png?padding=0.7
6856,Tyler Roberts,25,M,Northampton,EFL League One,Wales,CAM,Right,180,75,"['ST', 'RM']",68,70,-2,64,-1,63,0,72,0,38,0,67,-3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p228815.png?padding=0.7
6856,Thomas Robinet,28,M,Almere City FC,Eredivisie,France,ST,Right,180,72,['CAM'],68,71,5,67,5,62,4,67,3,34,1,71,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p229974.png?padding=0.7
6856,Gabrielle Robinson,24,F,KC Current,NWSL,United States,CB,Right,173,61,,68,57,-2,42,4,55,2,56,-1,69,0,64,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p273480.png?padding=0.7
6856,Carlos Robles,32,M,Dep. Táchira,Libertadores,Colombia,CDM,Right,185,81,['CM'],68,52,0,48,0,60,0,57,0,64,0,75,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p214175.png?padding=0.7
6856,Paulo Henrique,28,M,Radomiak Radom,PKO BP Ekstraklasa,Portugal,LB,Left,182,76,,68,71,0,50,0,64,0,62,0,65,0,70,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p229498.png?padding=0.7
6856,Thiago Rodrigues,28,M,Arouca,Liga Portugal,Brazil,GK,Right,185,75,,68,67,0,62,0,69,0,68,0,27,0,68,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p234379.png?padding=0.7
6856,Júlio Romão,26,M,Qarabağ FK,Liga Azerbaijan,Brazil,CDM,Right,193,88,['CM'],68,59,0,44,0,57,0,70,0,64,0,81,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p258360.png?padding=0.7
6856,Ronaldo Tavares,27,M,FC Seoul,K League 1,Portugal,ST,Right,192,85,,68,77,0,66,0,46,0,57,0,26,0,78,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p237641.png?padding=0.7
6856,Salomón Rodríguez,24,M,Godoy Cruz,Primera División,Uruguay,ST,Left,187,81,,68,60,-6,68,-2,56,2,63,0,31,0,68,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p259579.png?padding=0.7
6856,Valentín Rodríguez,23,M,Gimnasia,Primera División,Uruguay,LB,Left,173,71,,68,79,0,58,4,63,7,71,2,63,6,67,4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p260736.png?padding=0.7
6856,Kevin Rodríguez,24,M,R. Union St.-G.,1A Pro League,Ecuador,ST,Right,190,72,['LW'],68,80,1,66,2,57,1,69,1,25,0,67,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p272569.png?padding=0.7
6856,Martín Rodríguez,30,M,D.C. United,MLS,Chile,LM,Right,170,78,['LW'],68,81,0,61,0,66,0,70,0,43,0,60,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p214718.png?padding=0.7
6856,Lucas Rodríguez,31,M,Instituto,Primera División,Argentina,LB,Left,169,68,['LM'],68,75,1,55,0,64,0,67,0,64,0,67,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p214660.png?padding=0.7
6856,Andy,34,M,FC Cartagena,LALIGA HYPERMOTION,Spain,CM,Left,185,79,['CDM'],68,52,-1,65,-3,68,-2,66,-2,67,0,73,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p208817.png?padding=0.7
6856,Riki,27,M,Albacete BP,LALIGA HYPERMOTION,Spain,CM,Right,175,70,['CDM'],68,71,1,65,-2,66,-1,72,-1,56,0,60,5,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p251599.png?padding=0.7
6856,Maximiliano Rodríguez Vejar,24,M,Huachipato,Libertadores,Chile,ST,Right,185,82,,68,67,0,66,0,53,0,65,0,24,0,64,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p252534.png?padding=0.7
6856,Miguel Rodríguez,21,M,FC Utrecht,Eredivisie,Spain,RM,Right,179,73,"['LM', 'RW']",68,79,16,57,0,64,0,68,2,33,0,53,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p258730.png?padding=0.7
6856,Žan Rogelj,24,M,Sp. Charleroi,1A Pro League,Slovenia,RM,Right,175,65,['RW'],68,79,0,51,0,63,2,68,0,58,0,64,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p258465.png?padding=0.7
6856,Maximilian Rohr,29,M,SV Elversberg,Bundesliga 2,Germany,CB,Right,193,85,"['CDM', 'CM']",68,59,-2,52,0,60,0,60,0,67,-1,73,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p251320.png?padding=0.7
6856,Joao Rojas,35,M,ADT,Sudamericana,Ecuador,CAM,Right,173,64,,68,75,0,58,0,66,0,73,0,32,0,70,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p195031.png?padding=0.7
6856,Rodrigo Rojas,36,M,Sportivo Luqueño,Sudamericana,Paraguay,CM,Right,180,77,"['RM', 'CAM']",68,69,0,66,0,69,0,69,0,65,0,74,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p198138.png?padding=0.7
6856,Joao Rojas,27,M,Barcelona SC,Libertadores,Ecuador,LM,Right,175,70,"['LW', 'RW']",68,81,0,66,0,64,0,69,0,51,0,55,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p233424.png?padding=0.7
6856,Enzo Roldán,23,M,Unión,Primera División,Argentina,CM,Right,176,72,['CDM'],68,72,-4,66,1,65,-2,67,-1,62,-3,63,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p256501.png?padding=0.7
6856,Nicolás Romero,20,M,Atlético Tucumán,Primera División,Argentina,CB,Left,186,81,,68,60,-2,45,0,55,1,56,-2,68,-3,68,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p262142.png?padding=0.7
6856,Connor Ronan,26,M,Colorado Rapids,MLS,Republic of Ireland,CM,Right,170,70,"['CDM', 'CAM']",68,67,0,65,0,70,0,71,0,54,0,47,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p228408.png?padding=0.7
6856,Sandro Cruz,23,M,Gil Vicente,Liga Portugal,Angola,LB,Left,182,77,"['LM', 'CB']",68,80,0,33,0,60,0,63,0,63,0,64,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p268807.png?padding=0.7
6856,Michael Rose,29,M,Stoke City,EFL Championship,Scotland,CB,Right,188,70,,68,70,-2,39,0,58,0,60,0,68,-1,73,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p212487.png?padding=0.7
6856,Carlos Ross,34,M,Sport Huancayo,Sudamericana,Chile,RW,Right,176,69,"['LW', 'RM']",68,83,0,60,0,63,0,66,0,41,0,62,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p217989.png?padding=0.7
6856,Nicolás Rossi,26,M,S. Ameliano,Sudamericana,Uruguay,GK,Right,186,77,,68,64,0,67,0,56,0,70,0,22,0,69,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p259296.png?padding=0.7
6856,Bryan Rovira,27,M,Deportes Tolima,Sudamericana,Colombia,CDM,Right,177,82,['CM'],68,55,-1,54,-1,61,-2,60,-1,68,-3,79,5,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p225812.png?padding=0.7
6856,Donat Rrudhani,25,M,FC Luzern,CSSL,Kosovo,RM,Left,188,78,"['CM', 'RW']",68,75,-1,68,4,62,-1,69,2,36,-1,70,4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p270328.png?padding=0.7
6856,Tobías Rubio,20,M,Defensa,Sudamericana,Argentina,CB,Right,177,71,['RB'],68,76,5,41,0,58,6,69,7,66,6,74,13,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p276819.png?padding=0.7
6856,Alex Rufer,28,M,Well. Phoenix,A-League,New Zealand,CDM,Right,184,75,['CM'],68,64,1,58,6,66,5,66,7,63,7,78,3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p219392.png?padding=0.7
6856,Víctor Ruiz,31,M,FC St. Gallen,CSSL,Spain,CM,Right,173,66,['CAM'],68,68,-1,61,-1,71,2,74,0,52,1,58,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p247188.png?padding=0.7
6856,Haibrany Ruíz Díaz,32,M,Dep. Táchira,Libertadores,Uruguay,CB,Right,177,74,,68,64,0,37,0,59,0,60,0,68,0,71,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p254036.png?padding=0.7
6856,Charlize Rule,21,F,Brighton,Barclays WSL,Australia,RB,Right,176,59,,68,77,0,55,0,58,0,64,-1,67,0,62,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p265691.png?padding=0.7
6856,Patrick William,27,M,Rio Ave FC,Liga Portugal,Brazil,CB,Right,187,79,,68,58,1,61,0,65,2,59,3,67,-2,74,-2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p252150.png?padding=0.7
6856,Armando Sadiku,33,M,FC Goa,ISL,Albania,ST,Right,183,80,,68,65,-5,69,1,50,0,63,-1,38,0,65,-4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p216479.png?padding=0.7
6856,Görkem Sağlam,26,M,Hatayspor,Trendyol Süper Lig,Turkey,CAM,Right,178,72,"['CM', 'CDM']",68,71,0,63,4,67,1,70,2,59,5,66,5,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p229176.png?padding=0.7
6856,José Sagredo,30,M,Bolívar,Libertadores,Bolivia,CB,Left,180,76,['LB'],68,80,0,44,0,56,0,61,0,66,0,73,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p238375.png?padding=0.7
6856,Ömer Ali Şahiner,32,M,Başakşehir,Trendyol Süper Lig,Turkey,RB,Right,175,70,"['RM', 'CM']",68,74,0,67,0,66,0,71,0,62,0,70,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p223017.png?padding=0.7
6856,Rafiki Saïd,24,M,ESTAC Troyes,Ligue 2 BKT,Netherlands,LM,Left,178,73,"['ST', 'LW']",68,80,0,65,2,59,2,73,0,24,0,49,5,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p257112.png?padding=0.7
6856,Oliver Sail,28,M,Perth Glory,A-League,New Zealand,GK,Right,194,80,,68,75,0,69,0,50,0,69,0,49,0,61,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p225993.png?padding=0.7
6856,Víctor Salazar,31,M,Olimpia,Sudamericana,Argentina,RB,Right,175,67,,68,86,-2,54,6,59,2,66,-2,62,-2,70,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p224459.png?padding=0.7
6856,João Graça,29,M,Rio Ave FC,Liga Portugal,Portugal,CM,Right,177,73,['RW'],68,67,0,57,0,68,0,70,0,64,0,66,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p233414.png?padding=0.7
6856,Saúl Salcedo,27,M,Newell's,Primera División,Paraguay,CB,Right,183,75,,68,54,-2,33,0,43,0,53,0,70,-1,70,-5,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p228730.png?padding=0.7
6856,Eddie Salcedo,23,M,Lombardia FC,Serie A Enilive,Italy,ST,Right,178,74,['CAM'],68,78,1,66,3,60,0,75,-1,39,0,55,4,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p241410.png?padding=0.7
6856,Ronivaldo,35,M,Blau-Weiss Linz,Ö. Bundesliga,Brazil,ST,Right,173,76,,68,72,0,71,2,54,4,66,1,22,1,65,5,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p226958.png?padding=0.7
6856,Raphael Sallinger,28,M,TSV Hartberg,Ö. Bundesliga,Austria,GK,Right,196,85,,68,69,2,68,3,64,0,68,3,44,0,68,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p228562.png?padding=0.7
6856,Brian Salvareschi,25,M,Godoy Cruz,Primera División,Argentina,CB,Right,188,84,,68,55,-5,33,0,47,0,52,0,67,-2,75,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p260704.png?padding=0.7
6856,Piotr Samiec-Talar,23,M,Śląsk Wrocław,PKO BP Ekstraklasa,Poland,RM,Left,185,78,['RW'],68,84,4,63,5,64,7,66,2,31,2,61,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p245485.png?padding=0.7
6856,Felipe Sánchez,20,M,FC Schalke 04,Bundesliga 2,Argentina,CB,Left,184,78,,68,61,-1,40,12,50,1,55,10,68,-1,74,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p273904.png?padding=0.7
6856,Luciano Sánchez,30,M,Argentinos Jrs.,Sudamericana,Argentina,LM,Right,169,66,"['LB', 'LW']",68,76,0,56,0,62,0,70,0,65,0,70,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p267573.png?padding=0.7
6856,Niklas Sandberg,29,M,Sarpsborg 08,Eliteserien,Norway,RM,Left,183,73,['RW'],68,70,0,64,1,65,0,67,1,51,0,67,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p222081.png?padding=0.7
6856,Nazim Sangaré,30,M,Göztepe,Trendyol Süper Lig,Turkey,RB,Right,185,73,['RM'],68,80,0,47,0,60,0,68,0,64,0,67,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p238660.png?padding=0.7
6856,Kaishū Sano,23,M,1. FSV Mainz 05,Bundesliga,Japan,CM,Right,176,67,['CDM'],68,71,0,50,0,63,0,71,0,67,0,60,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p73078.png?padding=0.7
6856,Kodai Sano,21,M,N.E.C. Nijmegen,Eredivisie,Japan,LM,Right,176,66,"['CAM', 'CM', 'LW']",68,67,0,56,0,67,0,71,0,59,0,64,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p277809.png?padding=0.7
6856,Benjamin Santelli,33,M,AC Ajaccio,Ligue 2 BKT,France,ST,Left,180,77,['LM'],68,85,0,64,0,54,0,67,-1,26,0,67,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p250911.png?padding=0.7
6856,Simone Santoro,25,M,Modena,Serie BKT,Italy,CM,Right,181,74,['CDM'],68,80,0,60,0,67,0,70,0,65,0,67,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p242411.png?padding=0.7
6856,Pedro Amador,25,M,Atlanta United,MLS,Portugal,LB,Left,181,73,,68,72,2,46,0,66,4,68,5,63,1,61,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p256044.png?padding=0.7
6856,Franco Saravia,25,M,Alianza Lima,Libertadores,Peru,GK,Right,175,75,,68,66,0,64,0,61,0,70,0,20,0,67,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p256183.png?padding=0.7
6856,Andrés Sarmiento,26,M,Atl. Nacional,Liga Colombia,Colombia,LM,Right,178,60,['LW'],68,72,0,65,0,59,0,71,0,27,0,63,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p234955.png?padding=0.7
6856,Amin Sarr,23,M,Hellas Verona,Serie A Enilive,Sweden,ST,Right,188,83,['LW'],68,85,-6,65,-2,58,0,68,-1,25,0,67,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p256453.png?padding=0.7
6856,Nikolas Sattlberger,20,M,KRC Genk,1A Pro League,Austria,CDM,Right,191,73,,68,53,-1,39,3,61,8,61,4,66,8,70,11,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p270995.png?padding=0.7
6856,Fernando Saucedo,34,M,Bolívar,Libertadores,Bolivia,CM,Right,173,69,['CAM'],68,49,0,61,0,67,0,65,0,67,0,57,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p233569.png?padding=0.7
6856,Allahyar Sayyadmanesh,23,M,KVC Westerlo,1A Pro League,Iran,LM,Right,180,77,"['RM', 'ST', 'LW']",68,86,1,66,-1,57,0,69,-1,47,1,77,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p251575.png?padding=0.7
6856,Amine Sbaï,24,M,Al Fateh,ROSHN Saudi League,Morocco,LW,Right,175,68,['LM'],68,76,7,62,2,61,5,74,5,27,1,50,2,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p273666.png?padding=0.7
6856,Dan Scarr,29,M,Wrexham,EFL League One,England,CB,Right,188,80,,68,51,-1,40,0,46,0,51,0,68,0,78,-3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p237943.png?padding=0.7
6856,Stefan Schimmer,30,M,Heidenheim,Bundesliga,Germany,ST,Right,184,86,,68,64,0,68,0,48,3,63,0,29,0,72,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p239078.png?padding=0.7
6856,Marleen Schimmer,24,F,RB Leipzig,GPFBL,Germany,CAM,Right,168,60,['ST'],68,70,9,69,3,63,4,70,2,37,0,58,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p267389.png?padding=0.7
6856,Ally Schlegel,24,F,Chicago Red Stars,NWSL,United States,ST,Right,170,59,['CAM'],68,64,2,67,3,61,2,68,1,42,0,61,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p273488.png?padding=0.7
6856,Lukas Schleimer,24,M,1. FC Nürnberg,Bundesliga 2,Germany,CAM,Right,180,73,"['ST', 'CM']",68,70,5,61,2,63,0,71,1,44,3,52,7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p253418.png?padding=0.7
6856,Alessandro Schöpf,30,M,Whitecaps FC,MLS,Austria,CM,Right,178,74,"['CDM', 'CAM']",68,69,0,65,0,67,0,69,0,61,-1,69,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p220925.png?padding=0.7
6856,Marvin Schulz,29,M,Holstein Kiel,Bundesliga,Germany,CB,Right,186,85,"['CDM', 'CM']",68,66,8,63,0,63,0,67,0,68,0,70,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p223756.png?padding=0.7
6856,Iñigo Piña,30,M,CD Eldense,LALIGA HYPERMOTION,Spain,CB,Right,188,80,,68,65,0,33,0,50,0,50,0,69,0,65,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p276866.png?padding=0.7
6856,Maëlle Seguin,20,F,En Avant Guingamp,Arkema PL,France,CM,Right,168,60,['CDM'],68,47,0,56,0,63,0,68,0,56,0,53,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p271598.png?padding=0.7
6856,Rubin Seigers,26,M,KVC Westerlo,1A Pro League,Belgium,CB,Right,189,83,,68,66,0,25,0,57,0,51,0,69,0,67,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p234904.png?padding=0.7
6856,Seo Min Woo,26,M,Gimcheon Sangmu,K League 1,Korea Republic,CM,Right,184,75,['CDM'],68,60,0,54,3,62,2,66,3,65,0,78,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p255500.png?padding=0.7
6856,Seo Jin Su,24,M,Jeju United,K League 1,Korea Republic,ST,Right,183,71,"['RW', 'LW']",68,82,0,68,9,58,8,71,7,22,1,65,7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p251580.png?padding=0.7
6856,Claudio Sepúlveda,32,M,Huachipato,Libertadores,Chile,CDM,Right,175,76,['CM'],68,59,0,58,0,60,0,58,0,63,0,69,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p214915.png?padding=0.7
6856,Mats Seuntjens,32,M,CD Castellón,LALIGA HYPERMOTION,Holland,ST,Right,187,81,"['LM', 'CAM']",68,75,-1,68,-3,68,-2,67,-3,51,-10,71,-5,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p204684.png?padding=0.7
6856,Josh Sheehan,29,M,Bolton,EFL League One,Wales,CDM,Right,172,75,['CM'],68,79,0,57,2,69,8,71,2,62,3,64,9,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p212366.png?padding=0.7
6856,Maryan Shved,27,M,Shakhtar Donetsk,Ukrayina Liha,Ukraine,RM,Left,171,63,['RW'],68,72,-1,68,0,62,1,72,0,38,2,48,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p230559.png?padding=0.7
6856,Toby Sibbick,25,M,Wigan Athletic,EFL League One,England,CB,Right,188,75,,68,75,0,31,0,53,0,61,0,69,0,71,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p236244.png?padding=0.7
6856,Carlo Sickinger,27,M,SV Elversberg,Bundesliga 2,Germany,CB,Right,183,78,['CDM'],68,62,-3,49,1,60,2,65,1,69,6,69,1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p242525.png?padding=0.7
6856,Igor Silva,28,M,FC Lorient,Ligue 2 BKT,Brazil,RB,Right,173,66,['RM'],68,74,-1,53,-1,62,-1,71,-1,64,-2,63,-1,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p242054.png?padding=0.7
6856,Marco Matias,35,M,Farense,Liga Portugal,Portugal,LM,Right,177,73,"['LW', 'RM']",68,74,0,67,0,63,0,70,0,36,0,59,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p199840.png?padding=0.7
6856,Jean Carlos,28,M,Raków,PKO BP Ekstraklasa,Brazil,LM,Right,185,77,"['RM', 'LW']",68,85,0,60,0,63,0,64,0,45,0,66,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p235398.png?padding=0.7
6856,Roko Šimić,21,M,KV Kortrijk,1A Pro League,Croatia,ST,Right,190,80,,68,64,0,68,3,62,5,69,7,30,4,76,6,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p263413.png?padding=0.7
6856,Danel Sinani,27,M,FC St. Pauli,Bundesliga,Luxembourg,RM,Left,185,70,"['RW', 'CAM']",68,69,2,66,-2,68,-2,68,-1,41,0,65,-3,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p258626.png?padding=0.7
6856,Kim Sindermann,23,F,SGS Essen,GPFBL,Germany,GK,Right,170,65,,68,65,0,65,0,67,0,68,0,40,0,70,0,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p265043.png?padding=0.7
